"Bairro";"Nome";"Endereço";"Horario";"Telefone";"Empresa Coletora";"Latitude";"Longitude"
"Jardim Itú Sabará";"EMEF Profº Luiz Francisco Lucena Borges";"Rua Cláudio Manuel da Costa, 270  ";"2ª6ª - 7:00-12:00 / 13:30-17:30 h";"3338-3350 / 3289-5875";"Faros Coleto";"-30.033967742203";"-51.14654998816"
"Jardim Sabará";"CTG Tiarayu";"Rua Abilio Mulle, 251  ";"todos os dias das 10 às 22 h";"3381-5657 / 9975-8259";"Ecológica";"-30.027703298419";"-51.22873236598"
"Lami";"Capatazia Lami";"Rua Otaviano José Pinto,   Pontal";"2º-6º: 8:00-18:00 sab: 8:00-12:00";"3258-5055";"Ecológica";"-30.027701733564";"-51.22873181349"
"Lomba do Pinheiro";"EMEI Maria Marques Fernandes";"Av. Santo Dias da Silva, 550  Vila Mapa";"2ª 6ª - 7:00-19:00h";"3319-1208";"Ecológica";"-30.097160563835";"-51.133348391204"
"Lomba do Pinheiro";"EMEI da Vila Nova São Carlos";"Estr. João de Oliveira Remião esq. A, s/nº  Parada 12";"2ª6ª - 10:00-15:00 h";"3319-1146";"Ecológica";"-30.027700625433";"-51.228729962178"
"Lomba do Pinheiro";"EMEF São Pedro";"Beco da Taquara, s/nº  ";"5ª - 14:00 - 17:00h";"3319-1206";"Faros Coleto";"-30.027703496697";"-51.228730926965"
"Lomba do Pinheiro";"EMEF Afonso Guerreiro Lima";"Rua Guaíba, 203  PD.11-Vila Nova São Carlos";"2ª6ª- 7:30-12/ 13:10-17:40/ 18:30-22:00h";"3319-1011";"Faros Coleto";"-30.027703121593";"-51.228732415701"
"Mário Quintana";"EMEF Chico Mendes";"Rua Gentil Amâncio Clemente, 01  ";"2ª6ª - 7:30-12:00 / 13:30-17:30 h";"3387-6400";"Faros Coleto";"-30.033484592518";"-51.112674324833"
"Mário Quintana";"CEEMEF Wenceslau Fontoura";"Rua Irmã Faveiro, s/nº  ";"2ª6ª - 7:35-12 / 13:30-17:30 / 18:30-22:30 h";"3366-2911 / 3289-5847";"Ecológica";"-30.027703097588";"-51.228729759786"
"Mário Quintana";"EMEI Valneri Antunes";"Estr. Martim Félix Berta, 2353  ";"2º-6ª:7:00-18:45";"3287-6077";"Ecológica";"-30.030536114302";"-51.113160812957"
"Mário Quintana";"EMEF Timbaúva";"Rua Seis, s/nº  ";"2ª6ª - 8:00-12:00 / 13:00-17:30 h";"3368-5355";"Ecológica";"-30.027701350794";"-51.228729742789"
"Medianeira";"Capatazia Niteroi";"Av. Niteroi, 19  ";"2º-6º: 8:00-18:00 sab: 8:00-12:00";"3217-9257";"Faros Coleto";"-30.068506670333";"-51.213011632746"
"Menino Deus";"Ginásio Tesourinha";"Rua Érico Veríssimo S/Nº";"2ª a 6ª - 8h às 22h";"3289-8332";"Ecológica";"-30.027700166012";"-51.228732391562"
"Navegantes";"Ponto das Padarias";"Av. Sertório, 1105  ";"2ª6ª - 8 às 18 h";"3342-2266";"Ecológica";"-30.001007522055";"-51.194584235275"
"Navegantes";"SESC- Administração Regional no Estado do Rio Grande do Sul";"Av. Brasil, 483  ";;33425099;"Ecológica";"-30.004762156312";"-51.202537478885"
